word1,word2,score
narapeper,tnemhserfer,0.4
juce,juice,0.89
ecuj,juice,0.22
juce,eciuj,0.22
ecuj,eciuj,0.89
bicketes,biscuits,0.62
setekcib,biscuits,0.38
bicketes,stiucsib,0.38
setekcib,stiucsib,0.62
stomak,stomach,0.77
kamots,stomach,0.15
stomak,hcamots,0.15
kamots,hcamots,0.77
conteted,contented,0.94
detetnoc,contented,0.35
conteted,detnetnoc,0.35
detetnoc,detnetnoc,0.94
shore,sure,0.67
erohs,sure,0.22
shore,erus,0.22
erohs,erus,0.67
beatyful,beautiful,0.82
lufytaeb,beautiful,0.24
beatyful,lufituaeb,0.24
lufytaeb,lufituaeb,0.82
khole,whole,0.8
elohk,whole,0.2
khole,elohw,0.2
elohk,elohw,0.8
clime,climb,0.8
emilc,climb,0.2
clime,bmilc,0.2
emilc,bmilc,0.8
bilt,built,0.89
tlib,built,0.22
bilt,tliub,0.22
tlib,tliub,0.89
minner,minor,0.73
rennim,minor,0.18
minner,ronim,0.18
rennim,ronim,0.73
savthm,southern,0.43
mhtvas,southern,0.14
savthm,nrehtuos,0.14
mhtvas,nrehtuos,0.43
spashel,special,0.57
lehsaps,special,0.29
spashel,laiceps,0.29
lehsaps,laiceps,0.57
seasice,scissors,0.27
ecisaes,scissors,0.53
seasice,srossics,0.53
ecisaes,srossics,0.27
seaksily,scarcely,0.5
yliskaes,scarcely,0.38
seaksily,ylecracs,0.38
yliskaes,ylecracs,0.5
byesicle,bicycle,0.67
elciseyb,bicycle,0.27
byesicle,elcycib,0.27
elciseyb,elcycib,0.67
inneshe,initials,0.4
ehsenni,initials,0.27
inneshe,slaitini,0.27
ehsenni,slaitini,0.4
reaseat,receipt,0.57
taesaer,receipt,0.29
reaseat,tpiecer,0.29
taesaer,tpiecer,0.57
wasit,waist,0.8
tisaw,waist,0.4
wasit,tsiaw,0.4
tisaw,tsiaw,0.8
remined,remind,0.92
denimer,remind,0.31
remined,dnimer,0.31
denimer,dnimer,0.92
rain,reign,0.67
niar,reign,0.22
rain,ngier,0.22
niar,ngier,0.67
inkevanins,inconvenient,0.55
sninavekni,inconvenient,0.55
inkevanins,tneinevnocni,0.55
sninavekni,tneinevnocni,0.55
singnher,signature,0.59
rehngnis,signature,0.24
singnher,erutangis,0.24
rehngnis,erutangis,0.59
sacsesfull,successful,0.7
llufsescas,successful,0.4
sacsesfull,lufsseccus,0.4
llufsescas,lufsseccus,0.7
granty,guarantee,0.67
ytnarg,guarantee,0.27
granty,eetnaraug,0.27
ytnarg,eetnaraug,0.67
babyes,babies,0.83
seybab,babies,0.5
babyes,seibab,0.5
seybab,seibab,0.83
thier,their,0.8
reiht,their,0.4
thier,rieht,0.4
reiht,rieht,0.8
dinging,digging,0.86
gnignid,digging,0.43
dinging,gniggid,0.43
gnignid,gniggid,0.86
stake,steak,0.8
ekats,steak,0.4
stake,kaets,0.4
ekats,kaets,0.8
verest,various,0.46
tserev,various,0.15
verest,suoirav,0.15
tserev,suoirav,0.46
incloden,including,0.71
nedolcni,including,0.35
incloden,gnidulcni,0.35
nedolcni,gnidulcni,0.71
phototes,potatoes,0.75
setotohp,potatoes,0.38
phototes,seotatop,0.38
setotohp,seotatop,0.75
edmittet,admitted,0.75
tettimde,admitted,0.38
edmittet,dettimda,0.38
tettimde,dettimda,0.75
recevid,received,0.8
divecer,received,0.4
recevid,deviecer,0.4
divecer,deviecer,0.8
bounes,bonus,0.73
senuob,bonus,0.36
bounes,sunob,0.36
senuob,sunob,0.73
sellybrat,celebrate,0.67
tarbylles,celebrate,0.22
sellybrat,etarbelec,0.22
tarbylles,etarbelec,0.67
stil,still,0.89
lits,still,0.22
stil,llits,0.22
lits,llits,0.89
dang,dug,0.57
gnad,dug,0.29
dang,gud,0.29
gnad,gud,0.57
gardon,garden,0.83
nodrag,garden,0.17
gardon,nedrag,0.17
nodrag,nedrag,0.83
progres,progress,0.93
sergorp,progress,0.4
progres,ssergorp,0.4
sergorp,ssergorp,0.93
noticsport,noticeable,0.5
tropsciton,noticeable,0.2
noticsport,elbaeciton,0.2
tropsciton,elbaeciton,0.5
offten,often,0.91
netffo,often,0.18
offten,netfo,0.18
netffo,netfo,0.91
anty,aunt,0.75
ytna,aunt,0.25
anty,tnua,0.25
ytna,tnua,0.75
magneficent,magnificent,0.91
tnecifengam,magnificent,0.45
magneficent,tnecifingam,0.45
tnecifengam,tnecifingam,0.91
oppict,opposite,0.71
tcippo,opposite,0.43
oppict,etisoppo,0.43
tcippo,etisoppo,0.71
galary,gallery,0.77
yralag,gallery,0.31
galary,yrellag,0.31
yralag,yrellag,0.77
remmeber,remember,0.88
rebemmer,remember,0.75
remmeber,rebmemer,0.75
rebemmer,rebmemer,0.88
spilend,splendid,0.8
dnelips,splendid,0.27
spilend,didnelps,0.27
dnelips,didnelps,0.8
pupel,purple,0.73
lepup,purple,0.55
pupel,elprup,0.55
lepup,elprup,0.73
carttens,curtains,0.62
snettrac,curtains,0.25
carttens,sniatruc,0.25
snettrac,sniatruc,0.62
wortte,wrote,0.73
ettrow,wrote,0.36
wortte,etorw,0.36
ettrow,etorw,0.73
poletry,poetry,0.92
yrtelop,poetry,0.15
poletry,yrteop,0.15
yrtelop,yrteop,0.92
prbolom,problem,0.71
molobrp,problem,0.29
prbolom,melborp,0.29
molobrp,melborp,0.71
undester,understand,0.67
retsednu,understand,0.33
undester,dnatsrednu,0.33
retsednu,dnatsrednu,0.67
pomes,poems,0.8
semop,poems,0.4
pomes,smeop,0.4
semop,smeop,0.8
stareng,strange,0.71
gnerats,strange,0.29
stareng,egnarts,0.29
gnerats,egnarts,0.71
wantd,wanted,0.91
dtnaw,wanted,0.18
wantd,detnaw,0.18
dtnaw,detnaw,0.91
pottend,pretend,0.71
dnettop,pretend,0.29
pottend,dneterp,0.29
dnettop,dneterp,0.71
relly,really,0.91
yller,really,0.36
relly,yllaer,0.36
yller,yllaer,0.91
spical,special,0.77
lacips,special,0.31
spical,laiceps,0.31
lacips,laiceps,0.77
revesment,refreshment,0.8
tnemsever,refreshment,0.3
revesment,tnemhserfer,0.3
tnemsever,tnemhserfer,0.8
buscates,biscuits,0.62
setacsub,biscuits,0.38
buscates,stiucsib,0.38
setacsub,stiucsib,0.62
stimic,stomach,0.62
cimits,stomach,0.15
stimic,hcamots,0.15
cimits,hcamots,0.62
condented,contented,0.89
detnednoc,contented,0.44
condented,detnetnoc,0.44
detnednoc,detnetnoc,0.89
wholl,whole,0.8
llohw,whole,0.2
wholl,elohw,0.2
llohw,elohw,0.8
clumb,climb,0.8
bmulc,climb,0.2
clumb,bmilc,0.2
bmulc,bmilc,0.8
billet,built,0.73
tellib,built,0.18
billet,tliub,0.18
tellib,tliub,0.73
miner,minor,0.8
renim,minor,0.2
miner,ronim,0.2
renim,ronim,0.8
southen,southern,0.93
nehtuos,southern,0.13
southen,nrehtuos,0.13
nehtuos,nrehtuos,0.93
offull,awful,0.55
lluffo,awful,0.18
offull,lufwa,0.18
lluffo,lufwa,0.55
spical,special,0.77
lacips,special,0.31
spical,laiceps,0.31
lacips,laiceps,0.77
siscals,scissors,0.53
slacsis,scissors,0.53
siscals,srossics,0.53
slacsis,srossics,0.53
scacally,scarcely,0.75
yllacacs,scarcely,0.38
scacally,ylecracs,0.38
yllacacs,ylecracs,0.75
bicals,bicycle,0.62
slacib,bicycle,0.15
bicals,elcycib,0.15
slacib,elcycib,0.62
inials,initials,0.86
slaini,initials,0.43
inials,slaitini,0.43
slaini,slaitini,0.86
recet,receipt,0.83
tecer,receipt,0.5
recet,tpiecer,0.5
tecer,tpiecer,0.83
coarte,court,0.73
etraoc,court,0.18
coarte,truoc,0.18
etraoc,truoc,0.73
west,waist,0.67
tsew,waist,0.22
west,tsiaw,0.22
tsew,tsiaw,0.67
reminde,remind,0.92
ednimer,remind,0.31
reminde,dnimer,0.31
ednimer,dnimer,0.92
reine,reign,0.8
enier,reign,0.4
reine,ngier,0.4
enier,ngier,0.8
incovenent,inconvenient,0.91
tnenevocni,inconvenient,0.45
incovenent,tneinevnocni,0.45
tnenevocni,tneinevnocni,0.91
sigether,signature,0.59
rehtegis,signature,0.24
sigether,erutangis,0.24
rehtegis,erutangis,0.59
sccsfull,successful,0.78
llufsccs,successful,0.44
sccsfull,lufsseccus,0.44
llufsccs,lufsseccus,0.78
greanty,guarantee,0.62
ytnaerg,guarantee,0.25
greanty,eetnaraug,0.25
ytnaerg,eetnaraug,0.62
babyes,babies,0.83
seybab,babies,0.5
babyes,seibab,0.5
seybab,seibab,0.83
yestarday,yesterday,0.89
yadratsey,yesterday,0.44
yestarday,yadretsey,0.44
yadratsey,yadretsey,0.89
diking,digging,0.77
gnikid,digging,0.31
diking,gniggid,0.31
gnikid,gniggid,0.77
stake,steak,0.8
ekats,steak,0.4
stake,kaets,0.4
ekats,kaets,0.8
varies,various,0.77
seirav,various,0.15
varies,suoirav,0.15
seirav,suoirav,0.77
vagetabels,vegetables,0.8
slebategav,vegetables,0.3
vagetabels,selbategev,0.3
slebategav,selbategev,0.8
incouling,including,0.78
gniluocni,including,0.44
incouling,gnidulcni,0.44
gniluocni,gnidulcni,0.78
potiotes,potatoes,0.75
setoitop,potatoes,0.38
potiotes,seotatop,0.38
setoitop,seotatop,0.75
atmided,admitted,0.67
dedimta,admitted,0.4
atmided,dettimda,0.4
dedimta,dettimda,0.67
resived,received,0.8
deviser,received,0.4
resived,deviecer,0.4
deviser,deviecer,0.8
bonies,bonus,0.73
seinob,bonus,0.18
bonies,sunob,0.18
seinob,sunob,0.73
selberate,celebrate,0.78
etarebles,celebrate,0.44
selberate,etarbelec,0.44
etarebles,etarbelec,0.78
duck,dug,0.57
kcud,dug,0.29
duck,gud,0.29
kcud,gud,0.57
facet,fact,0.89
tecaf,fact,0.22
facet,tcaf,0.22
tecaf,tcaf,0.89
porgress,progress,0.88
ssergrop,progress,0.38
porgress,ssergorp,0.38
ssergrop,ssergorp,0.88
notsabil,noticeable,0.67
libaston,noticeable,0.22
notsabil,elbaeciton,0.22
libaston,elbaeciton,0.67
magnifum,magnificent,0.63
mufingam,magnificent,0.42
magnifum,tnecifingam,0.42
mufingam,tnecifingam,0.63
oppsite,opposite,0.93
etisppo,opposite,0.4
oppsite,etisoppo,0.4
etisppo,etisoppo,0.93
galeey,gallery,0.77
yeelag,gallery,0.15
galeey,yrellag,0.15
yeelag,yrellag,0.77
remebre,remember,0.8
erbemer,remember,0.67
remebre,rebmemer,0.67
erbemer,rebmemer,0.8
splindid,splendid,0.88
didnilps,splendid,0.38
splindid,didnelps,0.38
didnilps,didnelps,0.88
purpil,purple,0.83
liprup,purple,0.5
purpil,elprup,0.5
liprup,elprup,0.83
cartaines,curtains,0.82
seniatrac,curtains,0.24
cartaines,sniatruc,0.24
seniatrac,sniatruc,0.82
poiltry,poetry,0.77
yrtliop,poetry,0.15
poiltry,yrteop,0.15
yrtliop,yrteop,0.77
understand,understand,1.0
dnatsrednu,understand,0.3
understand,dnatsrednu,0.3
dnatsrednu,dnatsrednu,1.0
wards,words,0.8
sdraw,words,0.2
wards,sdrow,0.2
sdraw,sdrow,0.8
pratande,pretend,0.67
ednatarp,pretend,0.27
pratande,dneterp,0.27
ednatarp,dneterp,0.67
real,really,0.8
laer,really,0.2
real,yllaer,0.2
laer,yllaer,0.8
spical,special,0.77
lacips,special,0.31
spical,laiceps,0.31
lacips,laiceps,0.77
refreshion,refreshment,0.76
noihserfer,refreshment,0.29
refreshion,tnemhserfer,0.29
noihserfer,tnemhserfer,0.76
lift,left,0.75
tfil,left,0.25
lift,tfel,0.25
tfil,tfel,0.75
stumk,stomach,0.5
kmuts,stomach,0.17
stumk,hcamots,0.17
kmuts,hcamots,0.5
contanted,contented,0.89
detnatnoc,contented,0.33
contanted,detnetnoc,0.33
detnatnoc,detnetnoc,0.89
grate,great,0.8
etarg,great,0.4
grate,taerg,0.4
etarg,taerg,0.8
shoure,sure,0.8
eruohs,sure,0.2
shoure,erus,0.2
eruohs,erus,0.8
beautyfull,beautiful,0.84
llufytuaeb,beautiful,0.32
beautyfull,lufituaeb,0.32
llufytuaeb,lufituaeb,0.84
clime,climb,0.8
emilc,climb,0.2
clime,bmilc,0.2
emilc,bmilc,0.8
builet,built,0.91
teliub,built,0.18
builet,tliub,0.18
teliub,tliub,0.91
mina,minor,0.67
anim,minor,0.22
mina,ronim,0.22
anim,ronim,0.67
sadan,southern,0.31
nadas,southern,0.15
sadan,nrehtuos,0.15
nadas,nrehtuos,0.31
spical,special,0.77
lacips,special,0.31
spical,laiceps,0.31
lacips,laiceps,0.77
saizer,scissors,0.43
rezias,scissors,0.29
saizer,srossics,0.29
rezias,srossics,0.43
sicasely,scarcely,0.75
ylesacis,scarcely,0.38
sicasely,ylecracs,0.38
ylesacis,ylecracs,0.75
bycycle,bicycle,0.86
elcycyb,bicycle,0.43
bycycle,elcycib,0.43
elcycyb,elcycib,0.86
nisal,initials,0.62
lasin,initials,0.31
nisal,slaitini,0.31
lasin,slaitini,0.62
reseat,receipt,0.62
taeser,receipt,0.31
reseat,tpiecer,0.31
taeser,tpiecer,0.62
corret,court,0.73
terroc,court,0.18
corret,truoc,0.18
terroc,truoc,0.73
waiste,waist,0.91
etsiaw,waist,0.18
waiste,tsiaw,0.18
etsiaw,tsiaw,0.91
reminde,remind,0.92
ednimer,remind,0.31
reminde,dnimer,0.31
ednimer,dnimer,0.92
wraine,reign,0.55
eniarw,reign,0.36
wraine,ngier,0.36
eniarw,ngier,0.55
succaful,successful,0.78
lufaccus,successful,0.44
succaful,lufsseccus,0.44
lufaccus,lufsseccus,0.78
gurantte,guarantee,0.82
ettnarug,guarantee,0.24
gurantte,eetnaraug,0.24
ettnarug,eetnaraug,0.82
babys,babies,0.73
sybab,babies,0.55
babys,seibab,0.55
sybab,seibab,0.73
there,their,0.8
ereht,their,0.4
there,rieht,0.4
ereht,rieht,0.8
baries,various,0.62
seirab,various,0.15
baries,suoirav,0.15
seirab,suoirav,0.62
inculding,including,0.89
gnidlucni,including,0.44
inculding,gnidulcni,0.44
gnidlucni,gnidulcni,0.89
dinning,dining,0.92
gninnid,dining,0.46
dinning,gninid,0.46
gninnid,gninid,0.92
addmetted,admitted,0.82
dettemdda,admitted,0.59
addmetted,dettimda,0.59
dettemdda,dettimda,0.82
bounes,bonus,0.73
senuob,bonus,0.36
bounes,sunob,0.36
senuob,sunob,0.73
salevate,celebrate,0.59
etavelas,celebrate,0.35
salevate,etarbelec,0.35
etavelas,etarbelec,0.59
prograss,progress,0.88
ssargorp,progress,0.38
prograss,ssergorp,0.38
ssargorp,ssergorp,0.88
noticeboard,noticeable,0.67
draobeciton,noticeable,0.29
noticeboard,elbaeciton,0.29
draobeciton,elbaeciton,0.67
magnifisant,magnificent,0.82
tnasifingam,magnificent,0.45
magnifisant,tnecifingam,0.45
tnasifingam,tnecifingam,0.82
oppersit,opposite,0.75
tisreppo,opposite,0.38
oppersit,etisoppo,0.38
tisreppo,etisoppo,0.75
galary,gallery,0.77
yralag,gallery,0.31
galary,yrellag,0.31
yralag,yrellag,0.77
splended,splendid,0.88
dednelps,splendid,0.25
splended,didnelps,0.25
dednelps,didnelps,0.88
poiatary,poetry,0.71
yrataiop,poetry,0.14
poiatary,yrteop,0.14
yrataiop,yrteop,0.71
lastest,latest,0.92
tsetsal,latest,0.46
lastest,tsetal,0.46
tsetsal,tsetal,0.92
poim,poems,0.67
miop,poems,0.22
poim,smeop,0.22
miop,smeop,0.67
strainged,strange,0.88
degniarts,strange,0.12
strainged,egnarts,0.12
degniarts,egnarts,0.88
pretented,pretend,0.88
detneterp,pretend,0.38
pretented,dneterp,0.38
detneterp,dneterp,0.88
realy,really,0.91
ylaer,really,0.18
realy,yllaer,0.18
ylaer,yllaer,0.91
jues,juice,0.67
seuj,juice,0.22
jues,eciuj,0.22
seuj,eciuj,0.67
bescuts,biscuits,0.8
stucseb,biscuits,0.4
bescuts,stiucsib,0.4
stucseb,stiucsib,0.8
stomak,stomach,0.77
kamots,stomach,0.15
stomak,hcamots,0.15
kamots,hcamots,0.77
contanted,contented,0.89
detnatnoc,contented,0.33
contanted,detnetnoc,0.33
detnatnoc,detnetnoc,0.89
miner,minor,0.8
renim,minor,0.2
miner,ronim,0.2
renim,ronim,0.8
sauthan,southern,0.67
nahtuas,southern,0.13
sauthan,nrehtuos,0.13
nahtuas,nrehtuos,0.67
aufull,awful,0.73
llufua,awful,0.36
aufull,lufwa,0.36
llufua,lufwa,0.73
cises,scissors,0.62
sesic,scissors,0.31
cises,srossics,0.31
sesic,srossics,0.62
skisaly,scarcely,0.53
ylasiks,scarcely,0.13
skisaly,ylecracs,0.13
ylasiks,ylecracs,0.53
enesiles,initials,0.5
selisene,initials,0.25
enesiles,slaitini,0.25
selisene,slaitini,0.5
cort,court,0.89
troc,court,0.22
cort,truoc,0.22
troc,truoc,0.89
wiest,waist,0.8
tseiw,waist,0.2
wiest,tsiaw,0.2
tseiw,tsiaw,0.8
reain,reign,0.8
niaer,reign,0.2
reain,ngier,0.2
niaer,ngier,0.8
cuzarantee,guarantee,0.84
eetnarazuc,guarantee,0.32
cuzarantee,eetnaraug,0.32
eetnarazuc,eetnaraug,0.84
yersterday,yesterday,0.95
yadretsrey,yesterday,0.53
yersterday,yadretsey,0.53
yadretsrey,yadretsey,0.95
stake,steak,0.8
ekats,steak,0.4
stake,kaets,0.4
ekats,kaets,0.8
verious,various,0.86
suoirev,various,0.14
verious,suoirav,0.14
suoirev,suoirav,0.86
inclouding,including,0.95
gniduolcni,including,0.32
inclouding,gnidulcni,0.32
gniduolcni,gnidulcni,0.95
potates,potatoes,0.93
setatop,potatoes,0.53
potates,seotatop,0.53
setatop,seotatop,0.93
attmited,admitted,0.75
detimtta,admitted,0.5
attmited,dettimda,0.5
detimtta,dettimda,0.75
bones,bonus,0.8
senob,bonus,0.2
bones,sunob,0.2
senob,sunob,0.8
progerous,progress,0.71
suoregorp,progress,0.35
progerous,ssergorp,0.35
suoregorp,ssergorp,0.71
noticible,noticeable,0.84
elbiciton,noticeable,0.21
noticible,elbaeciton,0.21
elbiciton,elbaeciton,0.84
galery,gallery,0.92
yrelag,gallery,0.15
galery,yrellag,0.15
yrelag,yrellag,0.92
shure,sure,0.89
eruhs,sure,0.22
shure,erus,0.22
eruhs,erus,0.89
inconveineant,inconvenient,0.88
tnaenievnocni,inconvenient,0.48
inconveineant,tneinevnocni,0.48
tnaenievnocni,tneinevnocni,0.88
gurantee,guarantee,0.94
eetnarug,guarantee,0.24
gurantee,eetnaraug,0.24
eetnarug,eetnaraug,0.94
magnificient,magnificent,0.96
tneicifingam,magnificent,0.43
magnificient,tnecifingam,0.43
tneicifingam,tnecifingam,0.96
galary,gallery,0.77
yralag,gallery,0.31
galary,yrellag,0.31
yralag,yrellag,0.77
stranged,strange,0.93
degnarts,strange,0.13
stranged,egnarts,0.13
degnarts,egnarts,0.93
gurantee,guarantee,0.94
eetnarug,guarantee,0.24
gurantee,eetnaraug,0.24
eetnarug,eetnaraug,0.94
stake,steak,0.8
ekats,steak,0.4
stake,kaets,0.4
ekats,kaets,0.8
dugged,dug,0.67
deggud,dug,0.44
dugged,gud,0.44
deggud,gud,0.67
oposit,opposite,0.86
tisopo,opposite,0.43
oposit,etisoppo,0.43
tisopo,etisoppo,0.86
gallory,gallery,0.86
yrollag,gallery,0.29
gallory,yrellag,0.29
yrollag,yrellag,0.86
poetery,poetry,0.92
yreteop,poetry,0.31
poetery,yrteop,0.31
yreteop,yrteop,0.92
biscuts,biscuits,0.93
stucsib,biscuits,0.4
biscuts,stiucsib,0.4
stucsib,stiucsib,0.93
stamach,stomach,0.86
hcamats,stomach,0.29
stamach,hcamots,0.29
hcamats,hcamots,0.86
shure,sure,0.89
eruhs,sure,0.22
shure,erus,0.22
eruhs,erus,0.89
beatiful,beautiful,0.94
lufitaeb,beautiful,0.24
beatiful,lufituaeb,0.24
lufitaeb,lufituaeb,0.94
bilut,built,0.8
tulib,built,0.4
bilut,tliub,0.4
tulib,tliub,0.8
miner,minor,0.8
renim,minor,0.2
miner,ronim,0.2
renim,ronim,0.8
sathon,southern,0.57
nohtas,southern,0.29
sathon,nrehtuos,0.29
nohtas,nrehtuos,0.57
ouful,awful,0.6
lufuo,awful,0.4
ouful,lufwa,0.4
lufuo,lufwa,0.6
scarcily,scarcely,0.88
ylicracs,scarcely,0.38
scarcily,ylecracs,0.38
ylicracs,ylecracs,0.88
inushiols,initials,0.59
sloihsuni,initials,0.35
inushiols,slaitini,0.35
sloihsuni,slaitini,0.59
recipt,receipt,0.92
tpicer,receipt,0.31
recipt,tpiecer,0.31
tpicer,tpiecer,0.92
caurt,court,0.8
truac,court,0.2
caurt,truoc,0.2
truac,truoc,0.8
rayin,reign,0.6
niyar,reign,0.2
rayin,ngier,0.2
niyar,ngier,0.6
inconveniant,inconvenient,0.92
tnainevnocni,inconvenient,0.42
inconveniant,tneinevnocni,0.42
tnainevnocni,tneinevnocni,0.92
saccessful,successful,0.9
lufsseccas,successful,0.4
saccessful,lufsseccus,0.4
lufsseccas,lufsseccus,0.9
garanty,guarantee,0.75
ytnarag,guarantee,0.38
garanty,eetnaraug,0.38
ytnarag,eetnaraug,0.75
cocking,cooking,0.86
gnikcoc,cooking,0.29
cocking,gnikooc,0.29
gnikcoc,gnikooc,0.86
stalk,steak,0.8
klats,steak,0.2
stalk,kaets,0.2
klats,kaets,0.8
vegestables,vegetables,0.95
selbatsegev,vegetables,0.29
vegestables,selbategev,0.29
selbatsegev,selbategev,0.95
addmited,admitted,0.88
detimdda,admitted,0.38
addmited,dettimda,0.38
detimdda,dettimda,0.88
recived,received,0.93
devicer,received,0.4
recived,deviecer,0.4
devicer,deviecer,0.93
celibrate,celebrate,0.89
etarbilec,celebrate,0.33
celibrate,etarbelec,0.33
etarbilec,etarbelec,0.89
noticeble,noticeable,0.95
elbeciton,noticeable,0.32
noticeble,elbaeciton,0.32
elbeciton,elbaeciton,0.95
purpel,purple,0.83
leprup,purple,0.5
purpel,elprup,0.5
leprup,elprup,0.83
biquits,biscuits,0.8
stiuqib,biscuits,0.4
biquits,stiucsib,0.4
stiuqib,stiucsib,0.8
veries,various,0.62
seirev,various,0.15
veries,suoirav,0.15
seirev,suoirav,0.62
paper,purple,0.55
repap,purple,0.36
paper,elprup,0.36
repap,elprup,0.55
refreshements,refreshments,0.96
stnemehserfer,refreshments,0.32
refreshements,stnemhserfer,0.32
stnemehserfer,stnemhserfer,0.96
juce,juice,0.89
ecuj,juice,0.22
juce,eciuj,0.22
ecuj,eciuj,0.89
noticable,noticeable,0.95
elbaciton,noticeable,0.21
noticable,elbaeciton,0.21
elbaciton,elbaeciton,0.95
stomache,stomach,0.93
ehcamots,stomach,0.13
stomache,hcamots,0.13
ehcamots,hcamots,0.93
magnificient,magnificent,0.96
tneicifingam,magnificent,0.43
magnificient,tnecifingam,0.43
tneicifingam,tnecifingam,0.96
purpole,purple,0.92
eloprup,purple,0.46
purpole,elprup,0.46
eloprup,elprup,0.92
juce,juice,0.89
ecuj,juice,0.22
juce,eciuj,0.22
ecuj,eciuj,0.89
varies,various,0.77
seirav,various,0.15
varies,suoirav,0.15
seirav,suoirav,0.77
magnificant,magnificent,0.91
tnacifingam,magnificent,0.45
magnificant,tnecifingam,0.45
tnacifingam,tnecifingam,0.91
juise,juice,0.8
esiuj,juice,0.2
juise,eciuj,0.2
esiuj,eciuj,0.8
stommac,stomach,0.86
cammots,stomach,0.14
stommac,hcamots,0.14
cammots,hcamots,0.86
magnificend,magnificent,0.91
dnecifingam,magnificent,0.45
magnificend,tnecifingam,0.45
dnecifingam,tnecifingam,0.91
oposide,opposite,0.8
edisopo,opposite,0.4
oposide,etisoppo,0.4
edisopo,etisoppo,0.8
galary,gallery,0.77
yralag,gallery,0.31
galary,yrellag,0.31
yralag,yrellag,0.77
splended,splendid,0.88
dednelps,splendid,0.25
splended,didnelps,0.25
dednelps,didnelps,0.88
purble,purple,0.83
elbrup,purple,0.33
purble,elprup,0.33
elbrup,elprup,0.83
jous,juice,0.44
suoj,juice,0.22
jous,eciuj,0.22
suoj,eciuj,0.44
biscuids,biscuits,0.88
sdiucsib,biscuits,0.38
biscuids,stiucsib,0.38
sdiucsib,stiucsib,0.88
contended,contented,0.89
dednetnoc,contented,0.33
contended,detnetnoc,0.33
dednetnoc,detnetnoc,0.89
dinning,dining,0.92
gninnid,dining,0.46
dinning,gninid,0.46
gninnid,gninid,0.92
recieved,received,0.88
deveicer,received,0.5
recieved,deviecer,0.5
deveicer,deviecer,0.88
babys,babies,0.73
sybab,babies,0.55
babys,seibab,0.55
sybab,seibab,0.73
dinning,dining,0.92
gninnid,dining,0.46
dinning,gninid,0.46
gninnid,gninid,0.92
noticable,noticeable,0.95
elbaciton,noticeable,0.21
noticable,elbaeciton,0.21
elbaciton,elbaeciton,0.95
splendude,splendid,0.82
edudnelps,splendid,0.35
splendude,didnelps,0.35
edudnelps,didnelps,0.82
poetrie,poetry,0.77
eirteop,poetry,0.31
poetrie,yrteop,0.31
eirteop,yrteop,0.77
pretent,pretend,0.86
tneterp,pretend,0.43
pretent,dneterp,0.43
tneterp,dneterp,0.86
juce,juice,0.89
ecuj,juice,0.22
juce,eciuj,0.22
ecuj,eciuj,0.89
bisuts,biscuits,0.86
stusib,biscuits,0.43
bisuts,stiucsib,0.43
stusib,stiucsib,0.86
stomac,stomach,0.92
camots,stomach,0.15
stomac,hcamots,0.15
camots,hcamots,0.92
diging,digging,0.92
gnigid,digging,0.46
diging,gniggid,0.46
gnigid,gniggid,0.92
potateos,potatoes,0.88
soetatop,potatoes,0.62
potateos,seotatop,0.62
soetatop,seotatop,0.88
diening,dining,0.92
gnineid,dining,0.46
diening,gninid,0.46
gnineid,gninid,0.92
